source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
close_far_situation,condition_id,baseline,raw,close,far,52,104,0.41346153846153844,0.75,0.07692307692307693,0.8365384615384616,0.16346153846153846,67.3076923076923,0.0,0.75,0.07692307692307693,0.17307692307692307,0.0,0,0.46153846153846156
close_far_situation,condition_id,phrase_alternate,raw,close,far,52,104,0.44230769230769235,0.6730769230769231,0.21153846153846154,0.7307692307692307,0.2692307692307692,46.15384615384615,0.057692307692307696,0.6153846153846154,0.15384615384615385,0.17307692307692307,0.0,0,0.4423076923076923
close_far_situation,condition_id,word_beside,raw,close,far,52,104,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.5,0.5,0.0,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.0,0.0,0,0.5192307692307693
close_far_situation,condition_id,word_alongside,raw,close,far,52,104,0.7596153846153846,0.8653846153846154,0.6538461538461539,0.6057692307692307,0.3942307692307692,21.15384615384615,0.5192307692307693,0.34615384615384615,0.1346153846153846,0.0,0.0,0,0.7884615384615384
close_far_situation,condition_id,word_near,raw,close,far,52,104,0.40384615384615385,0.6538461538461539,0.15384615384615385,0.75,0.25,50.0,0.019230769230769232,0.6346153846153846,0.1346153846153846,0.21153846153846154,0.0,0,0.5
close_far_situation,condition_id,reference_reversed,raw,close,far,52,104,0.5288461538461539,0.8461538461538461,0.21153846153846154,0.8173076923076923,0.18269230769230768,63.46153846153846,0.11538461538461539,0.7307692307692307,0.09615384615384616,0.057692307692307696,0.0,0,0.47115384615384615
close_far_situation,condition_id,negate_close,raw,close,not close,52,104,0.3269230769230769,0.46153846153846156,0.19230769230769232,0.6346153846153846,0.36538461538461536,26.923076923076923,0.019230769230769232,0.4423076923076923,0.17307692307692307,0.36538461538461536,0.0,0,0.46153846153846156
close_far_situation,condition_id,negate_far,raw,not far,far,52,104,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.46153846153846156
close_far_situation,condition_id,both_negated,raw,not far,not close,52,104,0.5,0.7884615384615384,0.21153846153846154,0.7884615384615384,0.21153846153846154,57.692307692307686,0.0,0.7884615384615384,0.21153846153846154,0.0,0.0,0,0.46153846153846156
close_far_situation,condition_id+scenario_family,baseline|room_separation,raw,close,far,24,48,0.4375,0.75,0.125,0.8125,0.1875,62.5,0.0,0.75,0.125,0.125,0.0,0,0.5
close_far_situation,condition_id+scenario_family,phrase_alternate|room_separation,raw,close,far,24,48,0.4375,0.6666666666666666,0.20833333333333334,0.7291666666666666,0.2708333333333333,45.83333333333333,0.08333333333333333,0.5833333333333334,0.125,0.20833333333333334,0.0,0,0.4791666666666667
close_far_situation,condition_id+scenario_family,word_beside|room_separation,raw,close,far,24,48,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,word_alongside|room_separation,raw,close,far,24,48,0.75,0.875,0.625,0.625,0.375,25.0,0.5,0.375,0.125,0.0,0.0,0,0.7083333333333334
close_far_situation,condition_id+scenario_family,word_near|room_separation,raw,close,far,24,48,0.4166666666666667,0.7083333333333334,0.125,0.7916666666666666,0.20833333333333334,58.33333333333333,0.0,0.7083333333333334,0.125,0.16666666666666666,0.0,0,0.5
close_far_situation,condition_id+scenario_family,reference_reversed|room_separation,raw,close,far,24,48,0.5625,0.75,0.375,0.6875,0.3125,37.5,0.16666666666666666,0.5833333333333334,0.20833333333333334,0.041666666666666664,0.0,0,0.5
close_far_situation,condition_id+scenario_family,negate_close|room_separation,raw,close,not close,24,48,0.375,0.4583333333333333,0.2916666666666667,0.5833333333333334,0.4166666666666667,16.666666666666668,0.0,0.4583333333333333,0.2916666666666667,0.25,0.0,0,0.5
close_far_situation,condition_id+scenario_family,negate_far|room_separation,raw,not far,far,24,48,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,both_negated|room_separation,raw,not far,not close,24,48,0.5,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.2916666666666667,41.66666666666667,0.0,0.7083333333333334,0.2916666666666667,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,baseline|endpoints,raw,close,far,16,32,0.3125,0.5625,0.0625,0.75,0.25,50.0,0.0,0.5625,0.0625,0.375,0.0,0,0.5
close_far_situation,condition_id+scenario_family,phrase_alternate|endpoints,raw,close,far,16,32,0.40625,0.4375,0.375,0.53125,0.46875,6.25,0.0625,0.375,0.3125,0.25,0.0,0,0.5
close_far_situation,condition_id+scenario_family,word_beside|endpoints,raw,close,far,16,32,0.875,0.875,0.875,0.5,0.5,0.0,0.75,0.125,0.125,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,word_alongside|endpoints,raw,close,far,16,32,0.84375,0.75,0.9375,0.40625,0.59375,-18.75,0.6875,0.0625,0.25,0.0,0.0,0,0.78125
close_far_situation,condition_id+scenario_family,word_near|endpoints,raw,close,far,16,32,0.3125,0.3125,0.3125,0.5,0.5,0.0,0.0625,0.25,0.25,0.4375,0.0,0,0.5
close_far_situation,condition_id+scenario_family,reference_reversed|endpoints,raw,close,far,16,32,0.5,0.875,0.125,0.875,0.125,75.0,0.125,0.75,0.0,0.125,0.0,0,0.5
close_far_situation,condition_id+scenario_family,negate_close|endpoints,raw,close,not close,16,32,0.15625,0.25,0.0625,0.59375,0.40625,18.75,0.0,0.25,0.0625,0.6875,0.0,0,0.5
close_far_situation,condition_id+scenario_family,negate_far|endpoints,raw,not far,far,16,32,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,both_negated|endpoints,raw,not far,not close,16,32,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,baseline|seating_arrangement,raw,close,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.3125
close_far_situation,condition_id+scenario_family,phrase_alternate|seating_arrangement,raw,close,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.3125
close_far_situation,condition_id+scenario_family,word_beside|seating_arrangement,raw,close,far,8,16,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.625
close_far_situation,condition_id+scenario_family,word_alongside|seating_arrangement,raw,close,far,8,16,0.75,1.0,0.5,0.75,0.25,50.0,0.5,0.5,0.0,0.0,0.0,0,1.0
close_far_situation,condition_id+scenario_family,word_near|seating_arrangement,raw,close,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,reference_reversed|seating_arrangement,raw,close,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.3125
close_far_situation,condition_id+scenario_family,negate_close|seating_arrangement,raw,close,not close,8,16,0.5,0.75,0.25,0.75,0.25,50.0,0.125,0.625,0.125,0.125,0.0,0,0.3125
close_far_situation,condition_id+scenario_family,negate_far|seating_arrangement,raw,not far,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.25
close_far_situation,condition_id+scenario_family,both_negated|seating_arrangement,raw,not far,not close,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.25
close_far_situation,condition_id+scenario_family,baseline|surfaces_and_room_separation,raw,close,far,4,8,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.375
close_far_situation,condition_id+scenario_family,phrase_alternate|surfaces_and_room_separation,raw,close,far,4,8,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.25
close_far_situation,condition_id+scenario_family,word_beside|surfaces_and_room_separation,raw,close,far,4,8,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,word_alongside|surfaces_and_room_separation,raw,close,far,4,8,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.875
close_far_situation,condition_id+scenario_family,word_near|surfaces_and_room_separation,raw,close,far,4,8,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,reference_reversed|surfaces_and_room_separation,raw,close,far,4,8,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,negate_close|surfaces_and_room_separation,raw,close,not close,4,8,0.375,0.75,0.0,0.875,0.125,75.0,0.0,0.75,0.0,0.25,0.0,0,0.375
close_far_situation,condition_id+scenario_family,negate_far|surfaces_and_room_separation,raw,not far,far,4,8,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,both_negated|surfaces_and_room_separation,raw,not far,not close,4,8,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.5
close_far_situation,condition_id+reference_order_id,baseline|target_first,raw,close,far,52,104,0.41346153846153844,0.75,0.07692307692307693,0.8365384615384616,0.16346153846153846,67.3076923076923,0.0,0.75,0.07692307692307693,0.17307692307692307,0.0,0,0.46153846153846156
close_far_situation,condition_id+reference_order_id,phrase_alternate|target_first,raw,close,far,52,104,0.44230769230769235,0.6730769230769231,0.21153846153846154,0.7307692307692307,0.2692307692307692,46.15384615384615,0.057692307692307696,0.6153846153846154,0.15384615384615385,0.17307692307692307,0.0,0,0.4423076923076923
close_far_situation,condition_id+reference_order_id,word_beside|target_first,raw,close,far,52,104,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.5,0.5,0.0,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.0,0.0,0,0.5192307692307693
close_far_situation,condition_id+reference_order_id,word_alongside|target_first,raw,close,far,52,104,0.7596153846153846,0.8653846153846154,0.6538461538461539,0.6057692307692307,0.3942307692307692,21.15384615384615,0.5192307692307693,0.34615384615384615,0.1346153846153846,0.0,0.0,0,0.7884615384615384
close_far_situation,condition_id+reference_order_id,word_near|target_first,raw,close,far,52,104,0.40384615384615385,0.6538461538461539,0.15384615384615385,0.75,0.25,50.0,0.019230769230769232,0.6346153846153846,0.1346153846153846,0.21153846153846154,0.0,0,0.5
close_far_situation,condition_id+reference_order_id,reference_reversed|anchor_first,raw,close,far,52,104,0.5288461538461539,0.8461538461538461,0.21153846153846154,0.8173076923076923,0.18269230769230768,63.46153846153846,0.11538461538461539,0.7307692307692307,0.09615384615384616,0.057692307692307696,0.0,0,0.47115384615384615
close_far_situation,condition_id+reference_order_id,negate_close|target_first,raw,close,not close,52,104,0.3269230769230769,0.46153846153846156,0.19230769230769232,0.6346153846153846,0.36538461538461536,26.923076923076923,0.019230769230769232,0.4423076923076923,0.17307692307692307,0.36538461538461536,0.0,0,0.46153846153846156
close_far_situation,condition_id+reference_order_id,negate_far|target_first,raw,not far,far,52,104,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.46153846153846156
close_far_situation,condition_id+reference_order_id,both_negated|target_first,raw,not far,not close,52,104,0.5,0.7884615384615384,0.21153846153846154,0.7884615384615384,0.21153846153846154,57.692307692307686,0.0,0.7884615384615384,0.21153846153846154,0.0,0.0,0,0.46153846153846156
close_far_situation,condition_id+sentence_structure_id,baseline|anchor_setup_then_object_location,raw,close,far,52,104,0.41346153846153844,0.75,0.07692307692307693,0.8365384615384616,0.16346153846153846,67.3076923076923,0.0,0.75,0.07692307692307693,0.17307692307692307,0.0,0,0.46153846153846156
close_far_situation,condition_id+sentence_structure_id,phrase_alternate|anchor_setup_then_object_location,raw,close,far,52,104,0.44230769230769235,0.6730769230769231,0.21153846153846154,0.7307692307692307,0.2692307692307692,46.15384615384615,0.057692307692307696,0.6153846153846154,0.15384615384615385,0.17307692307692307,0.0,0,0.4423076923076923
close_far_situation,condition_id+sentence_structure_id,word_beside|anchor_setup_then_object_location,raw,close,far,52,104,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.5,0.5,0.0,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.0,0.0,0,0.5192307692307693
close_far_situation,condition_id+sentence_structure_id,word_alongside|anchor_setup_then_object_location,raw,close,far,52,104,0.7596153846153846,0.8653846153846154,0.6538461538461539,0.6057692307692307,0.3942307692307692,21.15384615384615,0.5192307692307693,0.34615384615384615,0.1346153846153846,0.0,0.0,0,0.7884615384615384
close_far_situation,condition_id+sentence_structure_id,word_near|anchor_setup_then_object_location,raw,close,far,52,104,0.40384615384615385,0.6538461538461539,0.15384615384615385,0.75,0.25,50.0,0.019230769230769232,0.6346153846153846,0.1346153846153846,0.21153846153846154,0.0,0,0.5
close_far_situation,condition_id+sentence_structure_id,reference_reversed|anchor_setup_then_object_location,raw,close,far,52,104,0.5288461538461539,0.8461538461538461,0.21153846153846154,0.8173076923076923,0.18269230769230768,63.46153846153846,0.11538461538461539,0.7307692307692307,0.09615384615384616,0.057692307692307696,0.0,0,0.47115384615384615
close_far_situation,condition_id+sentence_structure_id,negate_close|anchor_setup_then_object_location,raw,close,not close,52,104,0.3269230769230769,0.46153846153846156,0.19230769230769232,0.6346153846153846,0.36538461538461536,26.923076923076923,0.019230769230769232,0.4423076923076923,0.17307692307692307,0.36538461538461536,0.0,0,0.46153846153846156
close_far_situation,condition_id+sentence_structure_id,negate_far|anchor_setup_then_object_location,raw,not far,far,52,104,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.46153846153846156
close_far_situation,condition_id+sentence_structure_id,both_negated|anchor_setup_then_object_location,raw,not far,not close,52,104,0.5,0.7884615384615384,0.21153846153846154,0.7884615384615384,0.21153846153846154,57.692307692307686,0.0,0.7884615384615384,0.21153846153846154,0.0,0.0,0,0.46153846153846156
