contrast,grouping,group,target_a_label,target_b_label,n_pairs,n_target_judgments,n_correct,context_sensitivity_accuracy,target_a_accuracy,target_b_accuracy,both_correct_count,both_correct_fraction,both_wrong_fraction,same_context_preferred_fraction,exact_ties,mean_a_margin,mean_b_margin
closer_vs_farther,name_id,name_3,closer,farther,648,1296,548,0.4228395061728395,0.5185185185185185,0.3271604938271605,35,0.05401234567901234,0.20833333333333334,0.7376543209876543,0,0.0017275348489667163,-0.016949514180053898
closer_vs_unchanged,name_id,name_0,closer,unchanged,648,1296,753,0.5810185185185185,0.4166666666666667,0.7453703703703703,113,0.1743827160493827,0.012345679012345678,0.8132716049382716,0,-0.019939651091893513,0.06510723961724176
closer_vs_unchanged,name_id,name_1,closer,unchanged,648,1296,823,0.6350308641975309,0.47530864197530864,0.7947530864197531,181,0.279320987654321,0.009259259259259259,0.7114197530864198,0,0.008602828523259104,0.04645140763418174
closer_vs_unchanged,name_id,name_2,closer,unchanged,648,1296,841,0.6489197530864198,0.4228395061728395,0.875,193,0.2978395061728395,0.0,0.7021604938271605,0,-0.014313026710792823,0.06457322615164297
closer_vs_unchanged,name_id,name_3,closer,unchanged,648,1296,728,0.5617283950617284,0.38425925925925924,0.7391975308641975,83,0.12808641975308643,0.004629629629629629,0.8672839506172839,0,0.00023483494181691865,0.041185425571453424
farther_vs_unchanged,name_id,name_0,farther,unchanged,648,1296,705,0.5439814814814815,0.36882716049382713,0.7191358024691358,73,0.11265432098765432,0.024691358024691357,0.8626543209876543,0,-0.04253099306865975,0.06015993194815553
farther_vs_unchanged,name_id,name_1,farther,unchanged,648,1296,753,0.5810185185185185,0.47685185185185186,0.6851851851851852,130,0.2006172839506173,0.038580246913580245,0.7608024691358025,0,-0.009213942804454285,0.04421500456921848
farther_vs_unchanged,name_id,name_2,farther,unchanged,648,1296,797,0.6149691358024691,0.39197530864197533,0.8379629629629629,150,0.23148148148148148,0.0015432098765432098,0.7669753086419753,0,-0.026618731978498858,0.06476534295965124
farther_vs_unchanged,name_id,name_3,farther,unchanged,648,1296,678,0.5231481481481481,0.33641975308641975,0.7098765432098766,42,0.06481481481481481,0.018518518518518517,0.9166666666666666,0,-0.014649605493486664,0.03930064318356691
closer_vs_farther,object_id,obj_cone,closer,farther,864,1728,807,0.4670138888888889,0.5023148148148148,0.43171296296296297,72,0.08333333333333333,0.14930555555555555,0.7673611111111112,0,-0.0012007891028015703,-0.008671224807147626
closer_vs_farther,object_id,obj_flag,closer,farther,864,1728,700,0.4050925925925926,0.4166666666666667,0.39351851851851855,39,0.04513888888888889,0.2349537037037037,0.7199074074074074,0,-0.0046504393771842675,-0.008893456585981228
closer_vs_farther,object_id,obj_bicycle,closer,farther,864,1728,677,0.3917824074074074,0.42939814814814814,0.3541666666666667,56,0.06481481481481481,0.28125,0.6539351851851852,0,-0.00208765944397008,-0.013757957490505996
closer_vs_unchanged,object_id,obj_cone,closer,unchanged,864,1728,1030,0.5960648148148148,0.32407407407407407,0.8680555555555556,174,0.2013888888888889,0.009259259259259259,0.7893518518518519,0,-0.039314494364791445,0.07163062346754251
closer_vs_unchanged,object_id,obj_flag,closer,unchanged,864,1728,1030,0.5960648148148148,0.3599537037037037,0.8321759259259259,172,0.19907407407407407,0.006944444444444444,0.7939814814814815,0,-0.01634118112700957,0.0589112620110865
closer_vs_unchanged,object_id,obj_bicycle,closer,unchanged,864,1728,1085,0.6278935185185185,0.5902777777777778,0.6655092592592593,224,0.25925925925925924,0.003472222222222222,0.7372685185185185,0,0.036594414738593276,0.03244608875226091
farther_vs_unchanged,object_id,obj_cone,farther,unchanged,864,1728,1001,0.5792824074074074,0.3506944444444444,0.8078703703703703,146,0.16898148148148148,0.010416666666666666,0.8206018518518519,0,-0.042395876789534534,0.06693523432369586
